code,system
F05.1,icd10
191452002,icd10
191461002,icd10
F00,icd10
G30,icd10
26929004,icd10
230269008,icd10
142001000119106,icd10
F03,icd10
52448006,icd10
191519005,icd10
9345005,icd10
230289009,icd10
62239001,icd10
191493005,icd10
230282000,icd10
442344002,icd10
230288001,icd10
1095101000000106,icd10
956901000000100,icd10
956881000000103,icd10
959461000000102,icd10
312991009,icd10
12348006,icd10
15662003,icd10
191451009,icd10
191449005,icd10
230284004,icd10
230283005,icd10
80098002,icd10
67155006,icd10
230265002,icd10
230266001,icd10
230267005,icd10
83157008,icd10
230268000,icd10
230273006,icd10
230270009,icd10
230287006,icd10
1089521000000106,icd10
230286002,icd10
713060000,icd10
304603007,icd10
429458009,icd10
792004,icd10
716991000000108,icd10
716221000000104,icd10
711441000000100,icd10
13092008,icd10
21921000119103,icd10
230271008,icd10
1095121000000102,icd10
956841000000106,icd10
191459006,icd10
191455000,icd10
191466007,icd10
956861000000107,icd10
938551000000108,icd10
698626001,icd10
281004,icd10
191457008,icd10
191454001,icd10
191458003,icd10
191465006,icd10
135811000119107,icd10
419261000000107,icd10
288631000119104,icd10
16276361000119109,icd10
22381000119105,icd10
416780008,icd10
416975007,icd10
66108005,icd10
279982005,icd10
45864009,icd10
425390006,icd10
101421000119107,icd10
716671000000102,icd10
717471000000101,icd10
715821000000107,icd10
278855005,icd10
278857002,icd10
230274000,icd10
1110901000000109,icd10
20484008,icd10
230280008,icd10
723390000,icd10
1095111000000108,icd10
79341000119107,icd10
F01,icd10
429998004,icd10
230285003,icd10
723123001,icd10
10349009,icd10
56267009,icd10
191463004,icd10
191464005,icd10